flight_id	x	y	z	t	v	heading	ver_v
1	-64501.62746	-30994.10296	2227.195663	16.24480737	295.3652554	69.25765461	-894.0725818
1	-63491.5423	-30606.97415	2188.761168	16.37906198	293.0398002	69.17183282	-1302.552332
1	-62251.03708	-30135.171	2145.06064	16.51331658	291.1142233	68.98828211	-1344
1	-61125.22768	-29697.83832	2104.554575	16.64757119	290.4218513	68.69195925	-697.5132354
1	-59924.73236	-29228.41177	2064.329478	16.7818258	290.6792955	68.47753337	-965.7452364
1	-58643.0867	-28715.20678	2023.802752	16.9160804	290.1832285	68.16045579	-835.3656831
1	-57831.5952	-28384.10521	1996.427472	17.05033501	289.6840978	68.16399213	-896
1	-56579.91771	-27879.94433	1951.537149	17.18458961	289.0182144	68.28281753	-1086.963937
1	-55512.43954	-27447.37955	1911.042791	17.31884422	288.6749381	68.53755854	-1088
1	-54508.4669	-27051.13525	1879.438214	17.45309883	287.5157099	68.80954959	-989.178325
1	-53149.31645	-26524.77254	1852.2127	17.58735343	285.8089323	69.01581879	-609.4832739
1	-52011.48994	-26084.66456	1839.258664	17.72160804	284.5801713	69.20050758	-121.983805
1	-51107.24277	-25742.71284	1834.148657	17.85586265	283.8467862	69.34325804	63.09429017
1	-49880.54046	-25284.06337	1833.079268	17.99011725	284.0037977	69.42892886	-128
1	-48618.17271	-24808.66767	1833.079268	18.12437186	284.9741032	69.34903501	3.158405345
1	-47366.42677	-24334.85701	1834.270406	18.25862647	286.1771537	69.2986395	61.00607516
1	-46856.1263	-24141.61386	1834.603659	18.39288107	286.6541233	69.27401535	-128
1	-46012.07937	-23823.67448	1834.603659	18.52713568	287.488691	69.21588716	-17.01469038
1	-44585.99282	-23277.72982	1834.984756	18.66139028	288.7567279	69.10531029	26.15990594
1	-43556.47484	-22883.13994	1834.984756	18.79564489	289.283791	68.9702687	0
1	-41914.30687	-22239.14385	1835.746951	18.9298995	288.9259508	68.61961786	64
1	-41072.58641	-21898.83999	1833.566928	19.0641541	288.153109	67.44983639	0.265868115
1	-40135.92323	-21492.77031	1827.436076	19.19840871	286.8723427	64.99697112	-64
1	-39013.54069	-20940.27452	1817.32385	19.33266332	284.0253083	60.68799804	-190.4391085
1	-38244.99198	-20507.67812	1808.908891	19.46691792	281.5835421	57.53798969	-694.9099818
1	-37181.75954	-19796.59293	1792.612081	19.60117253	276.6749762	52.48329146	-319.7177055
1	-36261.75145	-19065.34622	1775.052545	19.73542714	270.7170634	47.92314583	-473.7660089
1	-35438.03031	-18303.83474	1759.20769	19.86968174	264.8789535	45.68236317	-366.8226174
1	-34644.09283	-17528.43471	1743.594491	20.00393635	259.2994495	45.22371918	-396.4745011
1	-33700.87154	-16602.5609	1723.498642	20.13819095	252.8719745	45.44062331	-448
1	-33198.52055	-16109.47879	1712.793085	20.27244556	249.6740466	45.52533546	-431.1208201
1	-32450.19075	-15358.26975	1695.439256	20.40670017	244.8172745	44.57956631	-448
1	-31540.20973	-14396.68535	1666.439882	20.54095477	239.1155896	42.21669895	-512
1	-31010.33033	-13784.27259	1646.398835	20.67520938	236.5161904	40.63400596	-487.7692413
1	-30568.22334	-13244.24811	1623.619687	20.80946399	234.5803216	39.13443264	-972.0214874
1	-29766.87527	-12209.54455	1583.113329	20.94371859	231.8934813	36.95208294	-1024
1	-29356.24491	-11663.38062	1557.981559	21.0779732	231.2881589	36.65366916	-708.4324915
1	-28711.02839	-10789.25823	1519.620698	21.21222781	230.9886852	36.4519744	-1080.168191
1	-28011.89395	-9838.42857	1475.922541	21.34648241	230.6706487	36.06377107	-1146.238322
1	-27553.8234	-9211.552501	1445.109279	21.48073702	230.4636429	35.72787856	-961.1043343
1	-26815.68918	-8166.214851	1395.315737	21.61499162	230.1445366	35.50396198	-832
1	-26346.68987	-7512.489356	1366.270864	21.74924623	229.69224	35.45321876	-866.1693742
1	-25890.57738	-6879.178489	1336.84438	21.88350084	229.3298655	35.37030864	-960.5506331
1	-25346.15014	-6090.42456	1298.489228	22.01775544	229.5100639	34.9716739	-1091.057059
1	-24668.3369	-5117.761417	1259.281686	22.15201005	229.8889493	34.49641293	-703.6579346
1	-24162.1982	-4366.564693	1240.367704	22.28626466	229.74212	33.9691478	-704
1	-23500.18461	-3375.877048	1227.577045	22.42051926	229.4093103	33.66147106	-108.5399727
1	-23113.15088	-2795.944059	1223.296145	22.55477387	229.320945	33.642965	-54.85998472
1	-22613.99498	-2050.135783	1220.429404	22.68902848	229.2340139	33.61064838	16.23638203
1	-22058.89488	-1205.822197	1220.703813	22.82328308	228.9366526	33.47463405	0
1	-21573.54055	-462.5847539	1221.865191	22.95753769	228.8468909	33.34300278	64
1	-20984.34078	439.6537964	1223.135936	23.09179229	229.1559163	33.33498085	0
1	-20263.78929	1542.778865	1224.668337	23.2260469	229.3459594	33.25173603	37.99842728
1	-19902.81544	2093.470278	1225.432217	23.36030151	228.7224197	33.19382034	-56.19980208
1	-19488.73608	2727.851556	1226.312052	23.49455611	227.5197858	33.13524433	-2.110830333
1	-19042.28317	3418.05115	1227.134146	23.62881072	225.9438568	33.11227053	150.7137189
1	-18479.73865	4284.559769	1227.120748	23.76306533	223.0766523	33.11102578	92.91298769
1	-17834.97138	5265.11004	1222.806501	23.89731993	219.1273078	33.17970054	-99.85098036
1	-17296.99092	6087.01464	1212.055689	24.03157454	215.5162646	33.25151036	128
1	-16969.24685	6594.484111	1203.068242	24.16582915	213.0714688	33.29482121	-64
1	-16750.01277	6926.640964	1196.395759	24.30008375	211.4164599	33.33596147	-148.2701874
1	-16291.26918	7626.150959	1178.324644	24.43433836	208.3316978	33.37523446	-1098.300171
1	-15824.96982	8335.715566	1155.539713	24.56859296	205.7713492	33.39456458	-1088
1	-15071.07495	9486.56539	1100.024971	24.70284757	203.9379	33.429005	-1088
1	-14450.54247	10440.0643	1045.550236	24.83710218	203.98367	33.42056072	-1088
1	-14152.91851	10896.48264	1019.29033	24.97135678	204.0932095	33.39845094	-1029.454382
1	-13816.63009	11410.56949	990.7040367	25.10561139	204.2325754	33.43878968	-960
1	-13340.60698	12133.54461	948.7214985	25.239866	204.4200322	34.3655627	-1024
1	-12653.04707	13074.46742	891.6463306	25.3741206	202.9460792	39.22896155	-1024
1	-12092.50079	13709.79657	850.3205555	25.50837521	200.8332315	44.23490848	-1043.819399
1	-11680.15389	14105.94904	822.6486104	25.64262982	198.9084176	48.69776945	-1024
1	-10645.80745	14807.75549	764.3559828	25.77688442	190.9259955	64.68797727	-1051.774365
1	-10036.10674	15032.53886	735.5649163	25.91113903	184.7141973	77.03459392	-904.9813634
1	-9590.700096	15128.01878	716.8354882	26.04539363	179.9874127	86.27814395	-576
1	-8796.738655	15114.17255	684.0610823	26.17964824	170.7104939	103.1284829	-576
1	-8058.867427	14886.98452	658.5132684	26.31390285	161.8173161	113.4612531	-451.895379
1	-7474.543491	14593.34505	636.9713324	26.44815745	154.6755054	119.6957574	-297.0208958
1	-7007.455075	14306.71837	618.2976937	26.58241206	149.0290884	124.27851	-573.1033392
1	-6632.078397	14037.17706	602.1341463	26.71666667	144.10253	128.737795	-768
2	-73508.96437	-129890.1568	5994.664634	0	389.89695	343.90399	-2112
2	-73794.24408	-128864.6611	5935.616969	0.085678392	390.6403157	345.7694352	-2147.4836
2	-74041.65434	-127788.8961	5876.173753	0.171356784	391.3344468	348.218914	-2147.4836
2	-74205.9998	-126804.7582	5823.311696	0.257035176	391.9764802	276.320705	-2112
2	-74312.57226	-125741.1232	5767.157394	0.342713568	392.7380293	203.2082034	-2112
2	-74316.1426	-124715.7274	5715.693344	0.42839196	393.2813111	134.0480559	-2112
2	-74234.31509	-123739.9043	5667.215215	0.514070352	393.7551947	65.39776344	-2112
